source,target,edge_type,author_order,weight
author:md5:384ad7b4242c8780d1a8519e13d85a9a,author:md5:abff753e5efbe07ae8e6411442d7cfff,coauthor,,1.0
author:md5:384ad7b4242c8780d1a8519e13d85a9a,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:384ad7b4242c8780d1a8519e13d85a9a,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:abff753e5efbe07ae8e6411442d7cfff,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:abff753e5efbe07ae8e6411442d7cfff,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:47a382efe7d7c6f351b597c18f0b992c,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:08770152f7c3a1a194221d79491dbcb6,author:md5:a20d4a5ffc7fe2d75dccd6b926247d23,coauthor,,1.0
author:md5:08770152f7c3a1a194221d79491dbcb6,author:md5:025670e3031ce60e4d6ef46777016163,coauthor,,1.0
author:md5:a20d4a5ffc7fe2d75dccd6b926247d23,author:md5:025670e3031ce60e4d6ef46777016163,coauthor,,1.0
author:md5:bc9522f7e2430120438b731ebb319022,author:md5:7a2f175d4d398d383e7e23692d9beb9a,coauthor,,1.0
author:md5:bc9522f7e2430120438b731ebb319022,author:md5:280422b97a870dee818ba4bcbf371ad9,coauthor,,1.0
author:md5:bc9522f7e2430120438b731ebb319022,author:md5:494590c8500cfc5e325d99c3c46a29ec,coauthor,,1.0
author:md5:bc9522f7e2430120438b731ebb319022,author:md5:7821c18e81a9c9916697e6e0e9cd5793,coauthor,,1.0
author:md5:bc9522f7e2430120438b731ebb319022,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:7a2f175d4d398d383e7e23692d9beb9a,author:md5:280422b97a870dee818ba4bcbf371ad9,coauthor,,1.0
author:md5:7a2f175d4d398d383e7e23692d9beb9a,author:md5:494590c8500cfc5e325d99c3c46a29ec,coauthor,,1.0
author:md5:7a2f175d4d398d383e7e23692d9beb9a,author:md5:7821c18e81a9c9916697e6e0e9cd5793,coauthor,,1.0
author:md5:7a2f175d4d398d383e7e23692d9beb9a,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:280422b97a870dee818ba4bcbf371ad9,author:md5:494590c8500cfc5e325d99c3c46a29ec,coauthor,,1.0
